X,Y,label,Var4
-4.4705567,0.12516752,reprogrammed_prog,failed_prog
-3.0751462,0.057909515,reprogrammed_prog,failed_prog
-4.919536,-0.6159191,failed_prog,failed_prog
-2.147916,-0.6711071,reprogrammed_prog,failed_prog
-5.211334,0.61947393,failed_prog,failed_prog
-4.6432385,-0.2163626,failed_prog,failed_prog
-2.6714232,0.3875413,failed_prog,failed_prog
-3.0182345,-0.6153908,failed_prog,failed_prog
-2.863406,-0.5222963,failed_prog,failed_prog
-2.718472,-0.96145415,failed_prog,failed_prog
-3.367829,-0.36279273,reprogrammed_prog,failed_prog
-3.0578616,-1.1692629,failed_prog,failed_prog
-5.0616193,-0.59432864,failed_prog,failed_prog
-3.9320357,-0.72834116,failed_prog,failed_prog
-3.466844,0.21396986,failed_prog,failed_prog
-4.297227,-1.4387339,failed_prog,failed_prog
-3.0066917,0.08145428,failed_prog,failed_prog
-3.536718,-0.69023705,reprogrammed_prog,failed_prog
-4.5138564,0.81887484,reprogrammed_prog,failed_prog
-4.5214887,0.1507261,failed_prog,failed_prog
-3.8539567,-1.6879994,failed_prog,failed_prog
-4.444046,-0.26352993,failed_prog,failed_prog
-2.94954,-0.89173365,failed_prog,failed_prog
-4.011976,-1.1093973,failed_prog,failed_prog
-5.3810654,0.0189378,failed_prog,failed_prog
-4.005448,-1.6684847,failed_prog,failed_prog
-3.8622217,-0.5992695,failed_prog,failed_prog
-4.7408724,-0.83535445,failed_prog,failed_prog
-5.2186875,-0.81888235,reprogrammed_prog,failed_prog
-3.537521,-0.36838183,failed_prog,failed_prog
-3.7889266,0.46521345,reprogrammed_prog,failed_prog
-3.7005978,-0.2676409,failed_prog,failed_prog
-4.23402,-0.26888022,failed_prog,failed_prog
-4.780106,0.16511516,failed_prog,failed_prog
-3.8898292,-1.6489377,failed_prog,failed_prog
-2.8688388,0.02899953,failed_prog,failed_prog
-4.0368323,-0.9827444,failed_prog,failed_prog
-2.764567,0.114918195,failed_prog,failed_prog
-3.8533347,-0.5124355,reprogrammed_prog,failed_prog
-3.419481,-1.2341222,failed_prog,failed_prog
-3.3303854,-0.4372247,failed_prog,failed_prog
-3.944813,-1.3115971,reprogrammed_prog,failed_prog
-4.842034,0.47126782,failed_prog,failed_prog
-3.0706635,-0.07287521,failed_prog,failed_prog
-4.114517,0.12334792,failed_prog,failed_prog
-5.194214,0.020804197,failed_prog,failed_prog
-3.7552454,-0.99594873,failed_prog,reprogrammed_prog
-5.834593,-0.077398546,reprogrammed_prog,reprogrammed_prog
-4.530123,0.35161835,failed_prog,reprogrammed_prog
-6.684309,0.40921667,reprogrammed_prog,reprogrammed_prog
-4.495682,-0.3298003,reprogrammed_prog,reprogrammed_prog
-4.4255133,-0.31012315,reprogrammed_prog,reprogrammed_prog
-4.1064844,-0.6856027,reprogrammed_prog,reprogrammed_prog
-4.464422,0.60858685,reprogrammed_prog,reprogrammed_prog
-4.349502,0.05623776,reprogrammed_prog,reprogrammed_prog
-4.603993,0.72428936,reprogrammed_prog,reprogrammed_prog
-4.2691526,0.81154317,reprogrammed_prog,reprogrammed_prog
-4.0295825,0.4221289,reprogrammed_prog,reprogrammed_prog
-4.38363,0.5789074,reprogrammed_prog,reprogrammed_prog
-4.371595,-0.32827613,reprogrammed_prog,reprogrammed_prog
-4.758684,1.4341098,reprogrammed_prog,reprogrammed_prog
-3.9531105,0.25234935,reprogrammed_prog,reprogrammed_prog
-4.1869917,0.30456483,reprogrammed_prog,reprogrammed_prog
-3.8597798,-0.3550138,reprogrammed_prog,reprogrammed_prog
-3.4880822,0.64408123,reprogrammed_prog,reprogrammed_prog
-4.0925956,0.21492612,reprogrammed_prog,reprogrammed_prog
